"filename", "language", "PHP", "CSS", "JavaScript", "XML", "Markdown", "JSON", "comment", "blank", "total"
"d:\Proyectos Laravel\iglesia-microservicio-php\README.md", "Markdown", 0, 0, 0, 0, 44, 0, 0, 21, 65
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Console\Kernel.php", "PHP", 15, 0, 0, 0, 0, 0, 12, 6, 33
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Enums\Removed.php", "PHP", 8, 0, 0, 0, 0, 0, 5, 4, 17
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Enums\Role.php", "PHP", 8, 0, 0, 0, 0, 0, 5, 4, 17
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Enums\State.php", "PHP", 9, 0, 0, 0, 0, 0, 5, 4, 18
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Enums\Working.php", "PHP", 8, 0, 0, 0, 0, 0, 5, 4, 17
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Exceptions\Handler.php", "PHP", 33, 0, 0, 0, 0, 0, 29, 8, 70
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\ActividadController.php", "PHP", 68, 0, 0, 0, 0, 0, 15, 15, 98
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\AsistenciaController.php", "PHP", 72, 0, 0, 0, 0, 0, 2, 19, 93
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\IngresoController.php", "PHP", 60, 0, 0, 0, 0, 0, 15, 13, 88
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\MiembroController.php", "PHP", 102, 0, 0, 0, 0, 0, 0, 10, 112
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\RecaudacionController.php", "PHP", 75, 0, 0, 0, 0, 0, 2, 22, 99
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Api\UsuarioController.php", "PHP", 101, 0, 0, 0, 0, 0, 0, 12, 113
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 27, 0, 0, 0, 0, 0, 17, 11, 55
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 27, 0, 0, 0, 0, 0, 11, 7, 45
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 16, 0, 0, 0, 0, 0, 6, 6, 28
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 14, 0, 0, 0, 0, 0, 6, 4, 24
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 38, 0, 0, 0, 0, 0, 20, 8, 66
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 25, 0, 0, 0, 0, 0, 16, 7, 48
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 39, 0, 0, 0, 0, 0, 13, 8, 60
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 19, 0, 0, 0, 0, 0, 6, 6, 31
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Controllers\Controller.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Kernel.php", "PHP", 41, 0, 0, 0, 0, 0, 21, 7, 69
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\Authenticate.php", "PHP", 12, 0, 0, 0, 0, 0, 6, 4, 22
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 19, 0, 0, 0, 0, 0, 8, 6, 33
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\Suscribido.php", "PHP", 11, 0, 0, 0, 0, 0, 7, 4, 22
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 5, 4, 20
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 5, 4, 21
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\TrustProxies.php", "PHP", 14, 0, 0, 0, 0, 0, 10, 5, 29
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\ValidateSignature.php", "PHP", 8, 0, 0, 0, 0, 0, 11, 4, 23
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Requests\Auth\LoginRequest.php", "PHP", 51, 0, 0, 0, 0, 0, 29, 14, 94
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Http\Resources\Api\EventResource.php", "PHP", 10, 0, 0, 0, 0, 0, 6, 4, 20
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Mail\Invitacion.php", "PHP", 31, 0, 0, 0, 0, 0, 21, 8, 60
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\Actividad.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 6, 29
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\Ingreso.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 5, 19
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\Miembro.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\Persona.php", "PHP", 18, 0, 0, 0, 0, 0, 5, 6, 29
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\User.php", "PHP", 42, 0, 0, 0, 0, 0, 34, 10, 86
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Models\Usuario.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\AppServiceProvider.php", "PHP", 14, 0, 0, 0, 0, 0, 11, 5, 30
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\AuthServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 13, 6, 31
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 5, 5, 22
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\EventServiceProvider.php", "PHP", 21, 0, 0, 0, 0, 0, 16, 6, 43
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Providers\RouteServiceProvider.php", "PHP", 28, 0, 0, 0, 0, 0, 17, 8, 53
"d:\Proyectos Laravel\iglesia-microservicio-php\app\Traits\ApiResponder.php", "PHP", 19, 0, 0, 0, 0, 0, 16, 4, 39
"d:\Proyectos Laravel\iglesia-microservicio-php\app\View\Components\AppLayout.php", "PHP", 10, 0, 0, 0, 0, 0, 5, 4, 19
"d:\Proyectos Laravel\iglesia-microservicio-php\app\View\Components\GuestLayout.php", "PHP", 10, 0, 0, 0, 0, 0, 5, 4, 19
"d:\Proyectos Laravel\iglesia-microservicio-php\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 30, 9, 56
"d:\Proyectos Laravel\iglesia-microservicio-php\composer.json", "JSON", 0, 0, 0, 0, 0, 75, 0, 1, 76
