Date : 2023-11-28 14:41:37
Directory : d:\Proyectos Laravel\iglesia-microservicio-php
Total : 134 files,  16354 codes, 1529 comments, 949 blanks, all 18832 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     12,639 |          0 |          4 |     12,643 |
| PHP        |        113 |      3,315 |      1,453 |        882 |      5,650 |
| CSS        |          3 |        173 |         10 |          8 |        191 |
| JavaScript |         10 |        152 |         64 |         32 |        248 |
| Markdown   |          1 |         44 |          0 |         21 |         65 |
| XML        |          2 |         31 |          2 |          2 |         35 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |        134 |     16,354 |      1,529 |        949 |     18,832 |
| . (Files)                                                                                                                    |          9 |     12,676 |          4 |         33 |     12,713 |
| app                                                                                                                          |         49 |      1,260 |        464 |        335 |      2,059 |
| app\Console                                                                                                                  |          1 |         15 |         12 |          6 |         33 |
| app\Enums                                                                                                                    |          4 |         33 |         20 |         16 |         69 |
| app\Exceptions                                                                                                               |          1 |         33 |         29 |          8 |         70 |
| app\Http                                                                                                                     |         28 |        906 |        255 |        220 |      1,381 |
| app\Http (Files)                                                                                                             |          1 |         41 |         21 |          7 |         69 |
| app\Http\Controllers                                                                                                         |         15 |        693 |        129 |        152 |        974 |
| app\Http\Controllers (Files)                                                                                                 |          1 |         10 |          0 |          4 |         14 |
| app\Http\Controllers\Api                                                                                                     |          6 |        478 |         34 |         91 |        603 |
| app\Http\Controllers\Auth                                                                                                    |          8 |        205 |         95 |         57 |        357 |
| app\Http\Middleware                                                                                                          |         10 |        111 |         70 |         43 |        224 |
| app\Http\Requests                                                                                                            |          1 |         51 |         29 |         14 |         94 |
| app\Http\Requests\Auth                                                                                                       |          1 |         51 |         29 |         14 |         94 |
| app\Http\Resources                                                                                                           |          1 |         10 |          6 |          4 |         20 |
| app\Http\Resources\Api                                                                                                       |          1 |         10 |          6 |          4 |         20 |
